component_name	component_version	package_or_native_component	upstream_source	license_expression	selected_license_branch	distribution_kind	public_legal_file_path	legal_file_sha256	notice_path	verification_status
gpu-alloc	0.6.2	rust-package	https://crates.io/crates/gpu-alloc/0.6.2	MIT OR Apache-2.0	Apache-2.0	TARGET_LINKED_RUNTIME	licenses/dispatch2-0.3.1-Apache-2.0.txt-Apache-2_0-3ac6882286-074e6e32c86a.txt	074e6e32c86a4c0ef8b3ed25b721ca23aca83df277cd88106ef7177c354615ff		PASS
gpu-alloc	0.6.2	rust-package	https://crates.io/crates/gpu-alloc/0.6.2	MIT OR Apache-2.0	Apache-2.0	TARGET_LINKED_RUNTIME	licenses/gpu-alloc-0.6.2-COPYING-NOTICE-e3144c2665-12121dfa5886.txt	12121dfa588677007848ab922a45a1e3248868f6ff063598fceb3141d7897314	licenses/gpu-alloc-0.6.2-COPYING-NOTICE-e3144c2665-12121dfa5886.txt	PASS
gpu-alloc-types	0.3.1	rust-package	https://crates.io/crates/gpu-alloc-types/0.3.1	MIT OR Apache-2.0	Apache-2.0	TARGET_LINKED_RUNTIME	licenses/dispatch2-0.3.1-Apache-2.0.txt-Apache-2_0-3ac6882286-074e6e32c86a.txt	074e6e32c86a4c0ef8b3ed25b721ca23aca83df277cd88106ef7177c354615ff		PASS
gpu-alloc-types	0.3.1	rust-package	https://crates.io/crates/gpu-alloc-types/0.3.1	MIT OR Apache-2.0	Apache-2.0	TARGET_LINKED_RUNTIME	licenses/gpu-alloc-0.6.2-COPYING-NOTICE-e3144c2665-12121dfa5886.txt	12121dfa588677007848ab922a45a1e3248868f6ff063598fceb3141d7897314	licenses/gpu-alloc-0.6.2-COPYING-NOTICE-e3144c2665-12121dfa5886.txt	PASS
gpu-descriptor	0.3.2	rust-package	https://crates.io/crates/gpu-descriptor/0.3.2	MIT OR Apache-2.0	Apache-2.0	TARGET_LINKED_RUNTIME	licenses/gpu-descriptor-0.3.2-COPYING-Apache-2_0-365682360f-f72143f7e9d9.txt	f72143f7e9d9fb8bd336b139fa22f825a299591c29f2f7338c5566347b137613		PASS
gpu-descriptor-types	0.2.0	rust-package	https://crates.io/crates/gpu-descriptor-types/0.2.0	MIT OR Apache-2.0	Apache-2.0	TARGET_LINKED_RUNTIME	licenses/gpu-descriptor-0.3.2-COPYING-Apache-2_0-365682360f-f72143f7e9d9.txt	f72143f7e9d9fb8bd336b139fa22f825a299591c29f2f7338c5566347b137613		PASS
hashbrown	0.15.5	rust-package	https://crates.io/crates/hashbrown/0.15.5	MIT OR Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/hashbrown-0.15.5-LICENSE-MIT-MIT-1c0ece5023-ff8f68cb076c.txt	ff8f68cb076caf8cefe7a6430d4ac086ce6af2ca8ce2c4e5a2004d4552ef52a2		PASS
hashbrown	0.17.1	rust-package	https://crates.io/crates/hashbrown/0.17.1	MIT OR Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/hashbrown-0.15.5-LICENSE-MIT-MIT-1c0ece5023-ff8f68cb076c.txt	ff8f68cb076caf8cefe7a6430d4ac086ce6af2ca8ce2c4e5a2004d4552ef52a2		PASS
hexf-parse	0.2.1	rust-package	https://crates.io/crates/hexf-parse/0.2.1	CC0-1.0	CC0-1.0	TARGET_LINKED_RUNTIME	licenses/hexf-parse-0.2.1-CC0-1.0.txt-CC0-1_0-846e6aea5e-a2010f343487.txt	a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499		PASS
indexmap	2.14.0	rust-package	https://crates.io/crates/indexmap/2.14.0	Apache-2.0 OR MIT	MIT	TARGET_LINKED_RUNTIME	licenses/indexmap-2.14.0-LICENSE-MIT-MIT-a01eaf0f42-ecc269ef87fd.txt	ecc269ef87fd38a1d98e30bfac9ba964a9dbd9315c3770fed98d4d7cb5882055		PASS
itoa	1.0.18	rust-package	https://crates.io/crates/itoa/1.0.18	MIT OR Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/adler2-2.0.1-LICENSE-MIT-MIT-ceec63d9fa-23f18e03dc49.txt	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3		PASS
jiff	0.2.35	rust-package	https://crates.io/crates/jiff/0.2.35	Unlicense OR MIT	MIT	TARGET_LINKED_RUNTIME	licenses/jiff-0.2.35-COPYING-NOTICE-e51ef4b4ac-01c266bced4a.txt	01c266bced4a434da0051174d6bee16a4c82cf634e2679b6155d40d75012390f	licenses/jiff-0.2.35-COPYING-NOTICE-e51ef4b4ac-01c266bced4a.txt	PASS
jiff	0.2.35	rust-package	https://crates.io/crates/jiff/0.2.35	Unlicense OR MIT	MIT	TARGET_LINKED_RUNTIME	licenses/jiff-0.2.35-LICENSE-MIT-MIT-84c2c65344-0f96a83840e1.txt	0f96a83840e146e43c0ec96a22ec1f392e0680e6c1226e6f3ba87e0740af850f		PASS
jiff-core	0.1.0	rust-package	https://crates.io/crates/jiff-core/0.1.0	Unlicense OR MIT	MIT	TARGET_LINKED_RUNTIME	licenses/jiff-0.2.35-COPYING-NOTICE-e51ef4b4ac-01c266bced4a.txt	01c266bced4a434da0051174d6bee16a4c82cf634e2679b6155d40d75012390f	licenses/jiff-0.2.35-COPYING-NOTICE-e51ef4b4ac-01c266bced4a.txt	PASS
jiff-core	0.1.0	rust-package	https://crates.io/crates/jiff-core/0.1.0	Unlicense OR MIT	MIT	TARGET_LINKED_RUNTIME	licenses/jiff-0.2.35-LICENSE-MIT-MIT-84c2c65344-0f96a83840e1.txt	0f96a83840e146e43c0ec96a22ec1f392e0680e6c1226e6f3ba87e0740af850f		PASS
jiff-tzdb	0.1.8	rust-package	https://crates.io/crates/jiff-tzdb/0.1.8	Unlicense OR MIT	MIT	TARGET_LINKED_RUNTIME	licenses/jiff-0.2.35-COPYING-NOTICE-e51ef4b4ac-01c266bced4a.txt	01c266bced4a434da0051174d6bee16a4c82cf634e2679b6155d40d75012390f	licenses/jiff-0.2.35-COPYING-NOTICE-e51ef4b4ac-01c266bced4a.txt	PASS
jiff-tzdb	0.1.8	rust-package	https://crates.io/crates/jiff-tzdb/0.1.8	Unlicense OR MIT	MIT	TARGET_LINKED_RUNTIME	licenses/jiff-0.2.35-LICENSE-MIT-MIT-84c2c65344-0f96a83840e1.txt	0f96a83840e146e43c0ec96a22ec1f392e0680e6c1226e6f3ba87e0740af850f		PASS
jiff-tzdb-platform	0.1.3	rust-package	https://crates.io/crates/jiff-tzdb-platform/0.1.3	Unlicense OR MIT	MIT	TARGET_LINKED_RUNTIME	licenses/jiff-0.2.35-COPYING-NOTICE-e51ef4b4ac-01c266bced4a.txt	01c266bced4a434da0051174d6bee16a4c82cf634e2679b6155d40d75012390f	licenses/jiff-0.2.35-COPYING-NOTICE-e51ef4b4ac-01c266bced4a.txt	PASS
jiff-tzdb-platform	0.1.3	rust-package	https://crates.io/crates/jiff-tzdb-platform/0.1.3	Unlicense OR MIT	MIT	TARGET_LINKED_RUNTIME	licenses/jiff-0.2.35-LICENSE-MIT-MIT-84c2c65344-0f96a83840e1.txt	0f96a83840e146e43c0ec96a22ec1f392e0680e6c1226e6f3ba87e0740af850f		PASS
khronos-egl	6.0.0	rust-package	https://crates.io/crates/khronos-egl/6.0.0	MIT/Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/adler2-2.0.1-LICENSE-MIT-MIT-ceec63d9fa-23f18e03dc49.txt	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3		PASS
khronos_api	3.1.0	rust-package	https://crates.io/crates/khronos_api/3.1.0	Apache-2.0	Apache-2.0	TARGET_EMBEDDED_GENERATED_MATERIAL	licenses/gl_generator-0.14.0-LICENSE-Apache-2_0-33bdcf7e06-cfc7749b96f6.txt	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30		PASS
lazy_static	1.5.0	rust-package	https://crates.io/crates/lazy_static/1.5.0	MIT OR Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/lazy_static-1.5.0-LICENSE-MIT-MIT-190f88e99b-0621878e61f0.txt	0621878e61f0d0fda054bcbe02df75192c28bde1ecc8289cbd86aeba2dd72720		PASS
libc	0.2.189	rust-package	https://crates.io/crates/libc/0.2.189	MIT OR Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/libc-0.2.189-LICENSE-MIT-MIT-127e753e47-123a331b5dbf.txt	123a331b5dbf04c30097fa43b8f858bc85df671fe776de498d01f3d6b7c1f69e		PASS
libloading	0.8.9	rust-package	https://crates.io/crates/libloading/0.8.9	ISC	ISC	TARGET_LINKED_RUNTIME	licenses/libloading-0.8.9-LICENSE-ISC-6d748c2e10-b29f8b014523.txt	b29f8b01452350c20dd1af16ef83b598fea3053578ccc1c7a0ef40e57be2620f		PASS
lock_api	0.4.14	rust-package	https://crates.io/crates/lock_api/0.4.14	MIT OR Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/lock_api-0.4.14-LICENSE-MIT-MIT-e11af46c0a-c9a75f18b9ab.txt	c9a75f18b9ab2927829a208fc6aa2cf4e63b8420887ba29cdb265d6619ae82d5		PASS
log	0.4.33	rust-package	https://crates.io/crates/log/0.4.33	MIT OR Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/bitflags-1.3.2-LICENSE-MIT-MIT-76a9400ff4-6485b8ed310d.txt	6485b8ed310d3f0340bf1ad1f47645069ce4069dcc6bb46c7d5c6faf41de1fdb		PASS
memchr	2.8.3	rust-package	https://crates.io/crates/memchr/2.8.3	Unlicense OR MIT	MIT	TARGET_LINKED_RUNTIME	licenses/jiff-0.2.35-COPYING-NOTICE-e51ef4b4ac-01c266bced4a.txt	01c266bced4a434da0051174d6bee16a4c82cf634e2679b6155d40d75012390f	licenses/jiff-0.2.35-COPYING-NOTICE-e51ef4b4ac-01c266bced4a.txt	PASS
memchr	2.8.3	rust-package	https://crates.io/crates/memchr/2.8.3	Unlicense OR MIT	MIT	TARGET_LINKED_RUNTIME	licenses/jiff-0.2.35-LICENSE-MIT-MIT-84c2c65344-0f96a83840e1.txt	0f96a83840e146e43c0ec96a22ec1f392e0680e6c1226e6f3ba87e0740af850f		PASS
miniz_oxide	0.8.9	rust-package	https://crates.io/crates/miniz_oxide/0.8.9	MIT OR Zlib OR Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/miniz_oxide-0.8.9-LICENSE-MIT-21d38f3e54-4108245a1f2d.txt	4108245a1f2df9d4e94df8abed5b4ba0759bb2f9b40a6b939f1be141077ae50b		PASS
miniz_oxide	0.8.9	rust-package	https://crates.io/crates/miniz_oxide/0.8.9	MIT OR Zlib OR Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/miniz_oxide-0.8.9-LICENSE-MIT.md-MIT-4c61226480-799e9ca9d179.txt	799e9ca9d179295ef372f25d3769cdda7d25bb2668add6a6a1e22d1e4c678b8d		PASS
naga	24.0.0	rust-package	https://crates.io/crates/naga/24.0.0	MIT OR Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/naga-24.0.0-LICENSE.MIT-MIT-5df44094fa-c7fea58d1cfe.txt	c7fea58d1cfe49634cd92e54fc10a9d871f4b275321a4cd8c09e449122caaeb4		PASS
nohash-hasher	0.2.0	rust-package	https://crates.io/crates/nohash-hasher/0.2.0	Apache-2.0 OR MIT	MIT	TARGET_LINKED_RUNTIME	licenses/nohash-hasher-0.2.0-LICENSE-MIT-MIT-d9dc948a91-ec353d4fecf7.txt	ec353d4fecf7963b4c054384557e5dbc3c7a717997eb4a3815b315721a6aa75a		PASS
notify-rust	4.17.0	rust-package	https://crates.io/crates/notify-rust/4.17.0	MIT/Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/notify-rust-4.17.0-LICENSE-MIT-MIT-9bee4d012b-d848c165548b.txt	d848c165548bd3f33419b71c3c3bb7cacec620d93383483393410688cba68431		PASS
