component_name	component_version	package_or_native_component	upstream_source	license_expression	selected_license_branch	distribution_kind	public_legal_file_path	legal_file_sha256	notice_path	verification_status
epaint_default_fonts	0.31.1	rust-package	https://crates.io/crates/epaint_default_fonts/0.31.1	(MIT OR Apache-2.0) AND OFL-1.1 AND Ubuntu-font-1.0	MIT,OFL-1.1,Ubuntu-font-1.0	TARGET_LINKED_RUNTIME	licenses/epaint_default_fonts-0.31.1-OFL.txt-MIT-b41cd5785e-6a73f9541c2d.txt	6a73f9541c2de74158c0e7cf6b0a58ef774f5a780bf191f2d7ec9cc53efe2bf2		PASS
epaint_default_fonts	0.31.1	rust-package	https://crates.io/crates/epaint_default_fonts/0.31.1	(MIT OR Apache-2.0) AND OFL-1.1 AND Ubuntu-font-1.0	MIT,OFL-1.1,Ubuntu-font-1.0	TARGET_LINKED_RUNTIME	licenses/epaint_default_fonts-0.31.1-UFL.txt-MIT-040d1afbfc-2f0015108d68.txt	2f0015108d68627bd788d313f529c21ff4da2c2c42a5e1f3883acc83480f9002		PASS
epaint_default_fonts	0.31.1	rust-package	https://crates.io/crates/epaint_default_fonts/0.31.1	(MIT OR Apache-2.0) AND OFL-1.1 AND Ubuntu-font-1.0	MIT,OFL-1.1,Ubuntu-font-1.0	TARGET_LINKED_RUNTIME	licenses/epaint_default_fonts-0.31.1-emoji-icon-font-mit-license.txt-MIT-d7c1562e1f-b9d2c1d909aa.txt	b9d2c1d909aa149996fd4c91dcb92b2362a04431640c1d200959da94caf8cde1		PASS
equivalent	1.0.2	rust-package	https://crates.io/crates/equivalent/1.0.2	Apache-2.0 OR MIT	MIT	TARGET_LINKED_RUNTIME	licenses/equivalent-1.0.2-LICENSE-MIT-MIT-06dce6b921-7365cc8878a1.txt	7365cc8878a1d7ce155a58c4ca09c3d7a6be413efa5334a80ea842912b669349		PASS
errno	0.3.14	rust-package	https://crates.io/crates/errno/0.3.14	MIT OR Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/errno-0.3.14-LICENSE-MIT-MIT-98c250bbb5-8764a5976757.txt	8764a597675778ddfd4e25f81b08a05dbcf089ac05662df7613fe67f150e3aa2		PASS
event-listener	5.4.2	rust-package	https://crates.io/crates/event-listener/5.4.2	Apache-2.0 OR MIT	MIT	TARGET_LINKED_RUNTIME	licenses/adler2-2.0.1-LICENSE-MIT-MIT-ceec63d9fa-23f18e03dc49.txt	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3		PASS
event-listener-strategy	0.5.4	rust-package	https://crates.io/crates/event-listener-strategy/0.5.4	Apache-2.0 OR MIT	MIT	TARGET_LINKED_RUNTIME	licenses/adler2-2.0.1-LICENSE-MIT-MIT-ceec63d9fa-23f18e03dc49.txt	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3		PASS
fastrand	2.5.0	rust-package	https://crates.io/crates/fastrand/2.5.0	Apache-2.0 OR MIT	MIT	TARGET_LINKED_RUNTIME	licenses/adler2-2.0.1-LICENSE-MIT-MIT-ceec63d9fa-23f18e03dc49.txt	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3		PASS
fdeflate	0.3.7	rust-package	https://crates.io/crates/fdeflate/0.3.7	MIT OR Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/fdeflate-0.3.7-LICENSE-MIT-MIT-9d529190ff-c77a4cf9da72.txt	c77a4cf9da729987d0fe7ccd811e3bd27393914ddf3d23467c18cc22954513b3		PASS
flate2	1.1.9	rust-package	https://crates.io/crates/flate2/1.1.9	MIT OR Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/flate2-1.1.9-LICENSE-MIT-MIT-dd990e8843-025436edff4c.txt	025436edff4cfcdde17a5811fdea78892d8482efd1abdec5a17872d07a4f2112		PASS
foldhash	0.1.5	rust-package	https://crates.io/crates/foldhash/0.1.5	Zlib	Zlib	TARGET_LINKED_RUNTIME	licenses/foldhash-0.1.5-LICENSE-Zlib-d2f7151edb-b1181a40b2a7.txt	b1181a40b2a7b25cf66fd01481713bc1005df082c53ef73e851e55071b102744		PASS
FUSE3	SYSTEM	native-component	https://github.com/libfuse/libfuse	NOT_DISTRIBUTED	NOT_APPLICABLE	SYSTEM_OR_PACKAGE_MANAGER_DEPENDENCY_NOT_DISTRIBUTED				PASS
fuser	0.17.0	rust-package	https://crates.io/crates/fuser/0.17.0	MIT	MIT	TARGET_LINKED_RUNTIME	licenses/fuser-0.17.0-LICENSE.md-MIT-43e7a1f0bf-e5de4041803c.txt	e5de4041803ce3d7b1b269165677baabbeb9e43252ad176a877bd544ca04d748		PASS
futures-core	0.3.34	rust-package	https://crates.io/crates/futures-core/0.3.34	MIT OR Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/futures-core-0.3.34-LICENSE-MIT-MIT-80d5060481-6652c868f35d.txt	6652c868f35dfe5e8ef636810a4e576b9d663f3a17fb0f5613ad73583e1b88fd		PASS
futures-io	0.3.34	rust-package	https://crates.io/crates/futures-io/0.3.34	MIT OR Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/futures-core-0.3.34-LICENSE-MIT-MIT-80d5060481-6652c868f35d.txt	6652c868f35dfe5e8ef636810a4e576b9d663f3a17fb0f5613ad73583e1b88fd		PASS
futures-lite	2.6.1	rust-package	https://crates.io/crates/futures-lite/2.6.1	Apache-2.0 OR MIT	MIT	TARGET_LINKED_RUNTIME	licenses/adler2-2.0.1-LICENSE-MIT-MIT-ceec63d9fa-23f18e03dc49.txt	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3		PASS
futures-lite	2.6.1	rust-package	https://crates.io/crates/futures-lite/2.6.1	Apache-2.0 OR MIT	MIT	TARGET_LINKED_RUNTIME	licenses/atomic-waker-1.1.2-LICENSE-THIRD-PARTY-MIT-a3bb2ae02a-6226d0632e2e.txt	6226d0632e2e1a80c23597e964da9812ae193c535fe058154afb034e94167aa5		PASS
glow	0.16.0	rust-package	https://crates.io/crates/glow/0.16.0	MIT OR Apache-2.0 OR Zlib	MIT	TARGET_LINKED_RUNTIME	licenses/glow-0.16.0-LICENSE-MIT-MIT-4e574998aa-cdbd06e25b8c.txt	cdbd06e25b8c9c5d6019949d2de8123f56d29cee4166396423d2ba8c81700845		PASS
gpu-alloc	0.6.2	rust-package	https://crates.io/crates/gpu-alloc/0.6.2	MIT OR Apache-2.0	Apache-2.0	TARGET_LINKED_RUNTIME	licenses/dispatch2-0.3.1-Apache-2.0.txt-Apache-2_0-3ac6882286-074e6e32c86a.txt	074e6e32c86a4c0ef8b3ed25b721ca23aca83df277cd88106ef7177c354615ff		PASS
gpu-alloc	0.6.2	rust-package	https://crates.io/crates/gpu-alloc/0.6.2	MIT OR Apache-2.0	Apache-2.0	TARGET_LINKED_RUNTIME	licenses/gpu-alloc-0.6.2-COPYING-NOTICE-e3144c2665-12121dfa5886.txt	12121dfa588677007848ab922a45a1e3248868f6ff063598fceb3141d7897314	licenses/gpu-alloc-0.6.2-COPYING-NOTICE-e3144c2665-12121dfa5886.txt	PASS
